get,Taxa
1143,Unknown_Order
1144,V2072-189E03
1145,V2072-189E03_or
1146,vadinBA26
1147,vadinHA49
1148,vadinHA49_or
1149,Vampirivibrionia
1150,Vampirovibrionales
1151,Veillonellales-Selenomonadales
1152,Verrucomicrobia
1153,Verrucomicrobiae
1154,Verrucomicrobiae_unclassified
1155,Verrucomicrobiales
1156,Verrucomicrobiota
1157,Verrucomicrobiota_unclassified
1158,VHS-B3-70
1159,VHS-B4-70
1160,Vibrionales
1161,Vicinamibacterales
1162,Vicinamibacteria
1163,Victivallales
1164,WCHB1-41
1165,WCHB1-81
1166,WCHB1-81_or
1167,WD260
1168,WN-HWB-116
1169,Woesearchaeales
1170,Woesearchaeia
1171,Woesearchaeia_or
1172,WOR-1
1173,WOR-1_cl
1174,WOR-1_or
1175,WPS-2
1176,WPS-2_cl
1177,WPS-2_or
1178,WS1
1179,WS1_cl
1180,WS1_or
1181,WS2
1182,WS2_cl
1183,WS2_or
1184,WS4
1185,WS4_cl
1186,WS4_or
1187,WWE3
1188,WWE3_or
1189,Xanthomonadales
1190,YNPFFP2
1191,YNPFFP2_or
1192,Zavarziniales
1193,Zetaproteobacteria
1194,Zixibacteria
1195,Zixibacteria_cl
1196,Zixibacteria_or
