taxa,colors
Halanaerobiales,#FFDBE5
Halanaerobiia,#7A4900
Haliangiales,#0000A6
Halobacterales,#63FFAC
Halobacteria,#B79762
Halobacteriales,#004D43
Halobacterota,#8FB0FF
Haloplasmatales,#997D87
Halothiobacillales,#5A0007
HDB-SIOI1093,#809693
HDB-SIOI1093_or,#FEFFE6
Heimdallarchaeia,#1B4400
Heimdallarchaeia_or,#4FC601
HgCo23,#3B5DFF
HglApr721,#4A3B53
HOC36,#FF2F80
Holophagae,#61615A
Holophagales,#BA0900
Holosporales,#6B7900
Hydrogenedentes,#00C2A0
Hydrogenedentia,#FFAA92
Hydrogenedentiales,#FF90C9
Hydrogenothermales,#B903AA
Hydrothermae,#D16100
Hydrothermae_cl,#DDEFFF
Hydrothermae_or,#000035
Hydrothermarchaeales,#7B4F4B
Hydrothermarchaeia,#A1C299
Hydrothermarchaeota,#300018
Hydrothermarchaeota_cl,#0AA6D8
Hydrothermarchaeota_or,#013349
I3A,#00846F
Iainarchaeales,#372101
Iainarchaeia,#FFB500
Iainarchaeota,#C2FFED
Ignavibacteria,#A079BF
Ignavibacteriales,#CC0744
IMCC26256,#C0B9B2
Immundisolibacterales,#C2FF99
Incertae_Sedis,#001E09
Incertae_Sedis_or,#00489C
Isosphaerales,#6F0062
Izemoplasmatales,#0CBD66
JdFR-43,#EEC3FF
JdFR-54,#456D75
JG30-KF-CM66,#B77B68
JG30-KF-CM66_or,#7A87A1
JG36-GS-52,#788D66
JG36-TzT-191,#885578
JGI_0000069-P22,#FAD09F
JS1,#FF8A9A
JS1_or,#D157A0
JTB23,#BEC459
Kallotenuales,#456648
Kapabacteria,#0086ED
Kapabacteriales,#886F4C
Kazania,#34362D
Kazania_or,#B4A8BD
KD4-96,#00A6AA
KD4-96_or,#452C2C
KF-JG30-C25,#636375
KI89A_clade,#A3C8C9
Kiloniellales,#FF913F
Kineosporiales,#938A81
Kiritimatiellae,#575329
Kiritimatiellaeota,#00FECF
Kiritimatiellales,#B05B6F
KIST-JJY010,#8CD0FF
Korarchaeales,#3B9700
Korarchaeia,#04F757
Korarchaeota,#C8A1A1
Kordiimonadales,#1E6E00
Kosmotogales,#7900D7
Kryptonia,#A77500
Kryptoniales,#6367A9
Ktedonobacterales,#A05837
Ktedonobacteria,#6B002C
Ktedonobacteria_or,#772600
Kyrpidiales,#D790FF
KZNMV-5-B42,#9B9700
Lachnospirales,#549E79
Lactobacillales,#FFF69F
Latescibacterales,#201625
Latescibacteria,#72418F
Latescibacteria_cl,#BC23FF
Latescibacteria_or,#99ADC0
Latescibacterota,#3A2465
Latescibacterota_cl,#922329
Latescibacterota_or,#5B4534
LCP-89,#FDE8DC
LCP-89_cl,#404E55
LCP-89_or,#0089A3
LD1-PA32,#CB7E98
LD1-PB3,#A4E804
Legionellales,#324E72
Lentisphaerae,#6A3A4C
Lentisphaerae_unclassified,#83AB58
Lentisphaerales,#001C1E
Lentisphaeria,#D1F7CE
Leptolyngbyales,#004B28
Leptospirae,#C8D0F6
Leptospirales,#A3A489
Leptospirillales,#806C66
Leptospirillia,#222800
Limnochordales,#BF5650
Limnochordia,#E83000
Limnochordia_or,#66796D
Limnotrichales,#DA007C
Lineage_IIa,#FF1A59
Lineage_IIa_or,#8ADBB4
Lineage_IIb,#1E0200
Lineage_IIb_or,#5B4E51
Lineage_IIc,#C895C5
Lineage_IIc_or,#320033
Lineage_IV,#FF6832
Lokiarchaeia,#66E1D3
Lokiarchaeia_or,#CFCDAC
Longimicrobia,#D0AC94
Longimicrobiales,#7ED379
M55-D21,#012C58
Magnetobacteriales,#7A7BFF
Magnetococcales,#D68E01
Magnetococcia,#353339
Margulisbacteria,#78AFA1
Margulisbacteria_cl,#FEB2C6
Margulisbacteria_or,#75797C
Marine_Benthic_Group_A,#837393
Marine_Benthic_Group_D_and_DHVEG-1,#943A4D
Marine_Group_II,#B5F4FF
Marine_Group_III,#D2DCD5
